region,cui,nombre_pip,funcion,division_funcional,grupo_funcional,sector_responsable,brechas,opmi,uf,uei,uep,gps,departamento,provincia,distrito,centro_poblado,region.1
madre de dios,2287810,"INSTALACION DEL SERVICIO DE EDUCACIÓN INICIAL ESCOLARIZADO EN LA II.EE. N 412 BAMBU , DISTRITO DE IBERIA, PROVINCIA DE TAHUAMANU,  MADRE DE DIOS",EDUCACIÓN,EDUCACIÓN BÁSICA,EDUCACIÓN INICIAL,EDUCACION,"SERVICIO DE EDUCACIÓN INICIAL
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACIÓN INICIAL CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU (UFMT2020 - YAQUELI MESCCO CUSI),UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - (UEIGIDURTAH - GOTTFRIED ALEXANDER SANTA CRUZ BURGA),301478 - MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - IÑAPARI,0,0,0,0,0,
madre de dios,2287872,"CONSTRUCCION DE ESTRIBOS PARA LA INSTALACION DEL PUENTE MODULAR TIPO ACROW EN LA LOCALIDAD DE SALVACION, MANU, PROVINCIA DE MANU - MADRE DE DIOS",TRANSPORTE,TRANSPORTE URBANO,VÍAS URBANAS,,"SERVICIO POR DEFINIR
                                
                                
                                    INDICADOR DE BRECHA POR DEFINIR
                                
                                
                                    UNIDAD DE MEDIDA POR DEFINIR
                                
                                
                                    PROVINCIAL
                                
                                
                                    1",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU (UFMPMAN - CARLOS ENRIQUE POMALIQUE HUANCA),UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU - (UEIMPMANU - KENT ALZAMORA TAYPE),301475 - MUNICIPALIDAD PROVINCIAL DE MANU,-12.24999999999995 / -70.99999999999994,MADRE DE DIOS,MANU,MANU,SALVACION,
madre de dios,2291033,"MEJORAMIENTO DE LOS SISTEMAS DE GESTION AMBIENTAL DE LOS GOBIERNOS LOCALES EN LOS DISTRITOS DE IÑAPARI, IBERIA Y TAHUAMANU DE LA  PROVINCIA DE TAHUAMANU - DEPARTAMENTO DE MADRE DE DIOS","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,AMBIENTAL,"SERVICIO DE GESTIÓN AMBIENTAL REGIONAL Y LOCAL (INFORMACION AMBIENTAL, FISCALIZACIÓN AMBIENTAL, CERTIFICACIÓN AMBIENTAL Y GESTIÓN DE LAS ÁREAS DE CONSERVACIÓN)
                                
                                
                                    PORCENTAJE DE GOBIERNOS REGIONALES Y LOCALES QUE BRINDAN SERVICIO DE GESTIÓN AMBIENTAL REGIONAL O LOCAL CON CAPACIDAD OPERATIVA INADECUADA
                                
                                
                                    ENTIDADES
                                
                                
                                    PROVINCIAL
                                
                                
                                    3",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU (UFMT2020 - YAQUELI MESCCO CUSI),"UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - (UEIGIDURTAH - GOTTFRIED ALEXANDER SANTA CRUZ BURGA)
                                -  ( - )",301478 - MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - IÑAPARI,-11.39250383999996 / -69.54201899999998,MADRE DE DIOS,TAHUAMANU,IBERIA,,
madre de dios,2303718,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE LAS MERCEDES , DISTRITO DE LABERINTO - TAMBOPATA - MADRE DE DIOS",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS
                                
                                
                                    PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    303
                                
                            
                            
                                
                                    SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    303",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,AREA FUNCIONAL DE ESTUDIOS Y PROYECTOS - SEDE CENTRAL GOREMAD (AFEP2020 - GUERRERO CARLA TERESA DEL CASTILLO),UEI  GOBIERNO REGIONAL MADRE DE DIOS-SEDE CENTRAL - (UEIGRIGOREMD - JUAN FELIPE RODRIGUEZ PASCO),875 - CTAR MADRE DE DIOS - SEDE CENTRAL,0,0,0,0,0,
madre de dios,2306939,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN INICIAL DE LAS I.E. N 279 NIÑO DE PRAGA, N 326 PALOTOA, N 303 SHINTUYA, N 350 ITAHUANIA, N 375 DE GAMITANA, N 390 DE PANTIACOLLA DE LOS CENTROS POBLADOS DE SALVACION, PALOTO,LLACTAPAMPA, SHINTUYA, ITAHUANIA, ASUNCION DE GAMITANA Y PANTIACOLLA, DEL DISTRITO DEL MANU, PROVINCIA DE MANU - MADRE DE DIOS",EDUCACIÓN,EDUCACIÓN BÁSICA,EDUCACIÓN INICIAL,EDUCACION,"SERVICIO DE EDUCACIÓN INICIAL
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACIÓN INICIAL CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    6",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU (UFMPMAN001 -  VICTOR JUNIOR  ATAYUPANQUI AYALA),UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU - (UEIMPMANU - KENT ALZAMORA TAYPE),301475 - MUNICIPALIDAD PROVINCIAL DE MANU,0,0,0,0,0,
madre de dios,2339214,"MEJORAMIENTO Y REMODELACION DE LA PLAZA DE ARMAS DE LA LOCALIDAD DE IÑAPARI, DISTRITO DE IÑAPARI, PROVINCIA DE TAHUAMANU - MADRE DE DIOS",CULTURA Y DEPORTE,CULTURA,PROMOCIÓN Y DESARROLLO CULTURAL,CULTURA,"SERVICIOS CULTURALES PARA LA PARTICIPACIÓN DE LA POBLACIÓN EN LAS INDUSTRIAS CULTURALES Y LAS ARTES
                                
                                
                                    PORCENTAJE DE DISTRITOS CON MÁS DE 20,000 HABITANTES QUE NO CUENTAN CON INFRAESTRUCTURA CULTURAL PÚBLICA PARA LA PARTICIPACIÓN DE LA POBLACIÓN EN LAS INDUSTRIAS CULTURALES Y LAS ARTES
                                
                                
                                    USUARIO/AÑO
                                
                                
                                    DISTRITAL
                                
                                
                                    2391",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU (UFMT2020 - YAQUELI MESCCO CUSI),UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - (UEIGIDURTAH - GOTTFRIED ALEXANDER SANTA CRUZ BURGA),301478 - MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - IÑAPARI,0,0,0,0,0,
madre de dios,2377942,"MEJORAMIENTO DE LA INTERCONEXION VIAL DE LA AV. 18 DE OCTUBRE CUADRA 1,2,3 DE LA LOCALIDAD DE ALERTA, DISTRITO DE TAHUAMANU - TAHUAMANU - MADRE DE DIOS",TRANSPORTE,TRANSPORTE URBANO,VÍAS URBANAS,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE MOVILIDAD URBANA
                                
                                
                                    PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE PISTAS Y VEREDAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    23.50",OPMI DE LA MUNICIPALIDAD DISTRITAL DE TAHUAMANU,GERENCIA DE DESARROLLO URBANO Y RURAL ( -  ),- ( - ),-,0,0,0,0,0,
piura,2018641,REDIMENSIONAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO III SULLANA,,,,,,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL (PRESCTARPI - ROSA ISABEL OQUELIS CABREDO),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIPI - MARTIN EDUARDO SAAVEDRA MORE),892 - REGION PIURA-SEDE CENTRAL,0,0,0,0,0,
piura,2022037,CONSTRUCCION DE CARRETERA TAMBOGRANDE - KM. 21 DE LA VIA PIURA-CHULUCANAS,,,,,,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL (UFGRPI004 - JORGE LUIS CASTILLO OJEDA),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIGRPI021 - WILMER VISE RUIZ),892 - REGION PIURA-SEDE CENTRAL,0,0,0,0,0,
piura,2022551,MEJORAMIENTO DE CARRETERA VECINAL 533-EMPALME-534-LA ISLILLA,TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,TRANSPORTES Y COMUNICACIONES,"SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA
                                
                                
                                    PORCENTAJE DE LA RED VIAL VECINAL POR PAVIMENTAR
                                
                                
                                    KM
                                
                                
                                    DEPARTAMENTAL
                                
                                
                                    15.6830",OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL (PRESCTARPI - ROSA ISABEL OQUELIS CABREDO),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIPI - MARTIN EDUARDO SAAVEDRA MORE),892 - REGION PIURA-SEDE CENTRAL,-5.0877047699999590 / -81.11384459999994,PIURA,PAITA,PAITA,LA ISLILLA (CALERA),
piura,2025914,PAVIMENTACION DEL AH LOS FICUS II ETAPA,TRANSPORTE,TRANSPORTE URBANO,VÍAS URBANAS,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE MOVILIDAD URBANA
                                
                                
                                    PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE PISTAS Y VEREDAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    1134",OPMI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE,UF DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE (UFMDVOC1 - YURLY BARCO CORDOVA),UEI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE - (UEIMDVOC - FELIPE SANCHEZ CUMBICUS),301849 - MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE,-5.1846378149999750 / -80.67019214499999,PIURA,PIURA,VEINTISEIS DE OCTUBRE,AH LOS FICUS II ETAPA,
piura,2031690,MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE IGNACIO ESCUDERO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    267153
                                
                            
                            
                                
                                    SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    181979",OPMI DEL GOBIERNO REGIONAL PIURA,GERENCIA SUB REGIONAL LUCIANO CASTILLO COLONNA (GRPIGLCC - MANUEL VERA BELTRAN),UEIPI-GSRLCC - (UEIGSRLCCCMM - CESAR AUGUSTO MONTALVAN MOZO),893 - REGION PIURA-GERENCIA LUCIANO CASTILLO COLONNA,-4.8453076799999610 / -80.87227379999996,PIURA,SULLANA,IGNACIO ESCUDERO,,
piura,2033310,"CONSTRUCCION DE LAS VIAS COLECTORAS DEL DREN SAN JOSE URB. SANTA ROSA - SULLANA, PROVINCIA DE SULLANA - PIURA",,,,,,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA (UFMPSLL1 - MARCO ZEGARRA RAMIREZ),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA - (UEIMPSLL1 - ARTURO RAMOS RIVAS),301573 - MUNICIPALIDAD PROVINCIAL DE SULLANA,-4.89130259 / -80.688310,PIURA,SULLANA,SULLANA,,
piura,2033737,"MEJORAMIENTO DE LOS SERVICIOS RECREACIONALES EN EL PARQUE ENTRE LAS CALLES SANTA EULALIA, LA VERONICA Y SAN JOSE DEL A.H. LAS MERCEDES, DISTRITO DE CASTILLA - PIURA - PIURA",AMBIENTE,GESTIÓN INTEGRAL DE LA CALIDAD AMBIENTAL,CONSERVACIÓN Y AMPLIACIÓN DE LAS ÁREAS VERDES Y ORNATO PÚBLICO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ESPACIOS PÚBLICOS VERDES
                                
                                
                                    PORCENTAJE DE M2 DE ESPACIOS PÚBLICOS VERDES EN ZONAS URBANAS POR IMPLEMENTAR
                                
                                
                                    M2
                                
                                
                                    DISTRITAL
                                
                                
                                    242.42",OPMI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA,UF DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA (UFMDCTL001 - SILVIA LILIANA CALLE CALLE),UEI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA - (UEIMDCTL001 - ALEX ROBERTO YESQUEN GRANDA),301530 - MUNICIPALIDAD DISTRITAL DE CASTILLA,-5.2286547489554650 / -80.64083103769530,PIURA,PIURA,CASTILLA,LAS MERCEDES,
