cui,nombre_pip,monto_inversion,monto_actualizado,fecha_ultimamodificacion
2071233,"AMPLIACION ,MEJORAMIENTO E  IMPLEMENTACION DEL CENTRO EDUCATIVO TECNICO PRODUCTIVO  DE ESPINAR,  -, PROVINCIA DE ESPINAR - CUSCO","S/. 1,905,423.00","S/. 2,666,766.49",
2071783,"MEJORAMIENTO DE LA LOSA PSICOMOTRIZ DE LA I.E.E DE SAN MIGUEL, PROVINCIA DE CANCHIS - CUSCO","S/. 245,182.00","S/. 271,481.60",
2072295,"AMPLIACION, MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE CALCA, PROVINCIA DE CALCA - CUSCO","S/. 13,064,133.00","S/. 14,186,098.69",06/02/2021 09:53:25 p.m.
2073112,"MEJORAMIENTO DE PISTAS Y VEREDAS DE LA VIA PRINCIPAL BARRIO DE DIOS  PP. JJ. BARRIO DE DIOS, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 534,774.00","S/. 1,199,064.82",
2073251,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL CON PISTAS Y VEREDAS DE LA AV. CIRCUNVALACION, PROLONGACION FRANCISCA ZUBIAGA Y JR. LOS HEROES DE LA CIUDAD DE QUILLABAMBA, DISTRITO DE SANTA ANA, PROVINCIA DE LA CONVENCION - CUSCO","S/. 4,367,977.00","S/. 13,639,251.77",28/09/2021 09:24:38 a.m.
2073360,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE SANEAMIENTO BASICO EN LOS SECTORES DE PINTOBAMBA ALTO Y BAJO, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 275,763.00","S/. 301,103.63",
2075011,"INSTALACION Y REFORESTACION DE 120 HAS DEL CULTIVO DE SAUCO EN LOS SECTORES DE CEDROMAYO, AVISLLA, LUCMA Y HUANCACALLE, CUENCA MEDIA DE VILCABAMBA, DISTRITO DE VILCABAMBA - LA CONVENCION - CUSCO","S/. 519,373.00","S/. 721,928.83",
2076959,"MEJORAMIENTO DEL PARQUE RECREACIONAL DEL  PP.JJ. GENERAL OLLANTA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 467,221.00","S/. 643,988.39",
2079141,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y DESAGUE URCOS, PROVINCIA DE QUISPICANCHIS - CUSCO","S/. 5,908,100.00","S/. 8,495,056.21",
2079199,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, DESAGUE Y PLANTA DE TRATAMIENTO EN EL CENTRO POBLADO DE HUYRO , DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO","S/. 5,655,344.00","S/. 8,086,425.00",23/02/2017 10:42:42 a.m.
2079235,"MEJORAMIENTO DE INFRAESTRUCTURA Y EQUIPAMIENTO DE LA I.E.I. N 214 SAN ANTONIO, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 499,210.00","S/. 499,209.82",26/03/2021 05:52:58 p.m.
2079743,"CONSTRUCCION DE INFRAESTRUCTURA VIAL A NIVEL DE PISTAS,VEREDAS DE LAS CALLES LADISLAO ESPINAR,MARISCAL CASTILLA Y 04 DE OCTUBRE  DE LA ASOCIACION DE VIVIENDA SAN FRANCISCO - P.J. ANTAPAMPA DISTRITO Y, PROVINCIA DE ESPINAR - CUSCO","S/. 3,710,954.00","S/. 3,076,052.71",23/02/2017 12:12:00 p.m.
2079923,"CONSTRUCCION DE VIA CARROZABLE  COLLPANI CHICO - BEATRIZ ALTA, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 486,507.00",S/. 0.00,
2080201,"MEJORAMIENTO Y CREACION DEL PARQUE DEPORTIVO Y RECREACIONAL  EN EL AA.HH HUASAHUARA DEL DISTRITO DE CUSCO, PROVINCIA DE CUSCO - CUSCO","S/. 730,551.00","S/. 1,013,868.01",
2080809,"MEJORAMIENTO DE LA TRASITABILIDAD PEATONAL EN LA CALLE SINCHIROCA ENTRE LA APV ALTO CUSCO Y APV VILLA EL SOL, DISTRITO DE CUSCO, PROVINCIA DE CUSCO - CUSCO","S/. 195,543.00",S/. 0.00,
2080973,"CONSTRUCCION DEL COLISEO MUNICIPAL EN EL DISTRITO, PROVINCIA DE ESPINAR - CUSCO","S/. 12,558,407.00","S/. 20,440,336.81",27/10/2021 04:50:19 p.m.
2081336,"MEJORAMIENTO DE LA RED PRIMARIA HUADQUIÑA - SAHUAYACO Y AMPLIACION DEL SISTEMA DE ELECTRIFICACION TRAMO SAHUAYACO - TOTORA - YANAMA EN EL , DISTRITO DE SANTA TERESA - LA CONVENCION - CUSCO","S/. 2,673,901.00","S/. 3,906,951.10",23/08/2018 09:37:14 a.m.
2081345,"CONSTRUCCION DEL SISTEMA DE RIEGO CHUYAMAYO CHALANQUI DEL, DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO","S/. 1,093,788.00","S/. 1,607,429.27",22/12/2021 03:48:18 p.m.
2081361,"CONSTRUCCION DEL SISTEMA DE RIEGO POR ASPERSION MOYOMONTE, CABALLERAYOC, SAN PABLO, NUEVA VICTORIA, DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO","S/. 2,836,738.00","S/. 4,277,148.58",29/09/2021 06:02:03 p.m.
2082838,"INSTALACION DEL SISTEMA DE AGUA  POTABLE Y ALCANTARILLADO EN EL CENTRO POBLADO DE PAMPA CONCEPCION , DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,094,519.00","S/. 7,481,182.57",01/10/2018 06:11:53 p.m.
2083014,"AMPLIACION DEL SISTEMA DE RIEGO POR ASPERSION EN LA C.C ANCASCHACA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 231,354.00","S/. 244,751.16",
2083053,"INSTALACION Y RENOVACIÓN DE 650 HAS DE CAFÉ ORGÁNICO CON SISTEMA AGROFORESTAL EN LA  MICROCUENCA DE VILCABAMBA, DISTRITO DE VILCABAMBA - LA CONVENCION - CUSCO","S/. 3,210,957.00","S/. 4,111,325.94",
2083152,"MEJORAMIENTO CARRETERA SANTUTIS CHICO, CC. PUMAMARCA, ABRA SAN MARTIN PUERTO DEL, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 14,487,664.00","S/. 22,197,915.05",16/02/2022 08:33:17 a.m.
2083681,"FORTALECIMIENTO DE LA PRODUCCION Y PRODUCTIVIDAD DEL CULTIVO DE CAFE EN EL, DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO","S/. 2,036,418.00","S/. 2,234,872.21",
2083975,"MEJORAMIENTO DE SERVICIOS EDUCATIVOS DEL CENTRO RURAL DE FORMACIÓN EN ALTERNACIA LLAPANCHIS YACHASUNCHIS DE ALLHUACCHUYO-LAYO SANTO TOMAS, PROVINCIA DE CHUMBIVILCAS - CUSCO","S/. 2,057,813.00","S/. 2,263,061.59",
2084811,"MEJORAMIENTO Y AMPLIACIÓN DE LA OFERTA DE SERVICIOS EDUCATIVOS DE LA IE 56604  MACHACCOYO, DISTRITO DE COPORAQUE - ESPINAR - CUSCO","S/. 769,055.00","S/. 803,708.58",11/09/2009 11:11:38 a.m.
2084833,"MEJORAMIENTO Y APERTURA DE LA TROCHA CARROZABLE PULPERA-ACHAHUI-PUCACCASA DE LA COMUNIDAD DE  ACHAHUI, DISTRITO DE COPORAQUE - ESPINAR - CUSCO","S/. 2,338,821.00","S/. 2,210,918.00",
2085224,"MEJORAMIENTO ,REHABILITACION E IMPLEMENTACION DEL COLISEO CERRADO PUMACAHUA DE LA CIUDAD DE SICUANI, PROVINCIA DE CANCHIS - CUSCO","S/. 3,364,724.00","S/. 3,693,533.40",
2085315,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACIÒN DE SISTEMA DE EVACUACIÓN DE EXCRETAS PLAYA SAHUAYACO, EN EL, DISTRITO DE SANTA TERESA - LA CONVENCION - CUSCO","S/. 380,903.00",S/. 0.00,
2088845,CONSTRUCCION Y EQUIPAMIENTO DEL COMEDOR UNIVERSITARIO DE PERAYOC - UNSAAC,"S/. 8,438,459.00","S/. 16,766,683.58",22/09/2021 08:52:18 a.m.
2089112,"CONSTRUCCION DE LA CARRETERA  TRAMO QUILCATA, ANTUYO, CCARAPAMPA, CANGALLE SANTO TOMAS, PROVINCIA DE CHUMBIVILCAS - CUSCO","S/. 4,305,476.00","S/. 4,386,259.10",
2089297,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL DEL CENTRO POBLADO DE  QQUEROCOLLA, DISTRITO DE COPORAQUE - ESPINAR - CUSCO","S/. 2,974,727.00","S/. 2,773,484.87",
2089381,"CONSTRUCCION DE SISTEMA DE RIEGO EN LOS SECTORES DE SAN CRISTÓBAL Y CALDERÓN ALTA, DISTRITO DE SANTA ANA, PROVINCIA DE LA CONVENCION - CUSCO","S/. 2,096,177.00","S/. 2,788,691.49",
2089890,"CONSTRUCCION DE CASA DE ESPERA MATERNA EN EL CENTRO DE SALUD DE YUVENI, DISTRITO DE VILCABAMBA - LA CONVENCION - CUSCO","S/. 223,841.00",S/. 0.00,
2090072,"CONSTRUCCION I.E. INICIAL Nº 375 CC.NN. CAMISEA BAJO URUBAMBA, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 1,175,121.00","S/. 4,529,052.93",07/03/2018 04:11:58 p.m.
2090228,RENOVACION Y MEJORAMIENTO DEL SISTEMA DE ENERGIA ELECTRICA EN LA CIUDAD UNIVERSITARIA DE PERAYOC-UNSAAC,"S/. 5,189,168.00","S/. 8,450,156.57",21/09/2021 01:27:29 p.m.
2090492,"AMPLIACION MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LACOMUNIDAD DE HUAYLLACCOCHA, DISTRITO DE HUAROCONDO - ANTA - CUSCO","S/. 1,045,905.00","S/. 3,702,208.46",16/02/2022 01:02:07 p.m.
2091378,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL SAUCEPAMPA EN EL, DISTRITO DE SANTA TERESA - LA CONVENCION - CUSCO","S/. 482,655.26",S/. 0.00,
2091496,"CONSTRUCCION DE LA TROCHA CARROZABLE PUENTE PANTIPATA  - IVIN, PROVINCIA DE ANTA - CUSCO","S/. 5,242,037.00","S/. 11,744,046.66",23/09/2021 07:36:26 p.m.
2092798,MEJORAMIENTO CARRETERA SANTO TOMAS - COLQUEMARCA,"S/. 40,480,815.00","S/. 74,536,617.13",28/09/2021 03:45:45 p.m.
2092921,"CONSTRUCCION TROCHA CARROZABLE RESISTENCIA - MIRAFLORES, DISTRITO DE VILCABAMBA - LA CONVENCION - CUSCO","S/. 1,615,211.00",S/. 0.00,
2093753,"INSTALACION DE VARIEDADES MEJORADAS Y TECNIFICACIÓN DE VARIEDADES LOCALES DEL CULTIVO DE PIÑA EN SIETE SECTORES DE LA CUENCA DE SAN MIGUEL,, DISTRITO DE VILCABAMBA - LA CONVENCION - CUSCO","S/. 1,467,621.00","S/. 1,998,527.90",
2093878,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS EN EL SECTOR DE SELVA ALEGRE ALTA Y BAJA, DISTRITO DE VILCABAMBA - LA CONVENCION - CUSCO","S/. 397,281.00",S/. 0.00,
2093912,MEJORAMIENTO Y FORTALECIMIENTO DE LA CARRERA PROFESIONAL DE INGENIERIA AGROPECUARIA DE LA UNSAAC SEDE SANTO TOMAS CHUMBIVILCAS - CUSCO,"S/. 3,998,704.00","S/. 16,403,821.01",21/09/2021 01:08:16 p.m.
2093913,"RENOVACION Y MEJORAMIENTO DE SISTEMA DE AGUA POTABLE, DESAGUE Y AGUAS PLUVIALES EN LA CIUDAD UNIVERSITARIA DE PERAYOC-UNSAAC","S/. 5,146,219.00","S/. 6,904,874.27",22/09/2021 08:37:29 a.m.
2094048,MEJORAMIENTO DE LA COBERTURA EN LA INSTITUCIÓN EDUCATIVA Nº 50611- PONGOBAMBA,"S/. 3,093,934.00","S/. 5,630,850.23",15/02/2022 04:52:34 p.m.
2094055,MANEJO Y GESTION SOSTENIBLE DE COSECHA DE AGUA EN ECOSISTEMAS LACUSTRES ALTO ANDINOS EN LA CUENCA DEL VILCANOTA – URUBAMBA – CALCA,"S/. 5,831,406.00","S/. 29,778,698.44",16/02/2022 08:54:14 a.m.
2094062,RESTAURACION Y PUESTA EN VALOR DEL CAMINO PREHISPANICO EN EL SECTOR DEL ARCO DE TIKA TIKA,"S/. 1,355,056.00","S/. 2,069,871.41",26/10/2018 05:01:36 p.m.
2094808,MEJORAMIENTO  DE LA CAPACIDAD RESOLUTIVA DE LOS SERVICIOS DE SALUD DEL HOSPITAL ANTONIO LORENA NIVEL III-1-CUSCO.,"S/. 291,579,667.00","S/. 701,752,138.73",11/02/2022 04:57:27 p.m.
2094870,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ELIMINACIÓN DE EXCRETAS EN LA CC DE YUNGAQUI, PROVINCIA DE ANTA - CUSCO","S/. 625,040.00","S/. 687,219.54",15/12/2010 10:36:50 p.m.
2094950,"RECUPERACION Y PUESTA EN VALOR DEL CAMINO TRONCAL DEL CHINCHAYSUYU, TRAMO HAWKAYPATA - IZCUCHACA","S/. 4,349,859.00","S/. 6,476,019.27",30/09/2021 01:33:15 p.m.
2095000,"RESTAURACION Y PUESTA EN VALOR DE LA ZONA ARQUEOLOGICA DE KANAMARKA, SECTORES KUTA QASA, IROKANCHA E INKA PIRWA","S/. 3,937,842.00","S/. 6,609,939.72",15/09/2021 01:43:46 a.m.
2097136,"CONSTRUCCION DE LA PAVIMENTACION EN LA AV. 28 DE JULIO DE LA APV CAMINO REAL - ZONA NOR OCCIDENTAL , DISTRITO DE CUSCO, PROVINCIA DE CUSCO - CUSCO","S/. 1,081,033.00","S/. 1,069,489.33",26/09/2021 06:10:16 p.m.
2097224,"CONSTRUCCION DE LA TROCHA CARROZABLE HUANCANCALLA - PUENTE KUTUCTAY DEL DISTRITO DE CHINCHAYPUJIO, PROVINCIA DE ANTA - CUSCO","S/. 4,670,126.00","S/. 3,845,953.33",21/09/2021 11:15:28 p.m.
2099153,"CONSTRUCCION DEL CENTRO RECREACIONAL Y DE  ESPARCIMIENTO AGUA BUENA, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 2,566,554.00","S/. 3,591,625.52",
2099166,"CONSTRUCCION DEL CERCO PERIMETRICO DE LA INSTITUCION EDUCATIVA N.56113 CCANCCAYLLO, COMUNIDAD CAMPESINA DE CHICNAYHUA DISTRITO DE YANAOCA, PROVINCIA DE CANAS - CUSCO","S/. 168,774.74",S/. 0.00,
2100678,"CONSTRUCCION, MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL DE LA APP PAMPACHACRA, DISTRITO DE SAN JERONIMO - CUSCO - CUSCO","S/. 2,490,431.00","S/. 3,105,897.85",24/12/2020 10:12:11 a.m.
2102944,"MEJORAMIENTO DE LA OFERTA DE SERVICIOS EDUCATIVOS DE LA I.E. JUAN PABLO II DE NIVEL SECUNDARIO PINCHIMURO, DISTRITO DE OCONGATE - QUISPICANCHI - CUSCO","S/. 1,353,081.00","S/. 1,660,199.03",
2102985,"MEJORAMIENTO DE LA PRESTACION DE SERVICIOS DE SALUD DEL P.S.CHECACUPE,MICRO RED COMBAPATA, RED DE CANAS CANCHIS ESPINAR, PROVINCIA DE CANCHIS - CUSCO","S/. 3,210,305.00","S/. 5,243,070.16",
2103438,"MEJORAMIENTO DE PISTAS Y VEREDAS DE LA CALLE PRINCIPAL DE LA COMUNIDAD CAMPESINA DE OCCOPATA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 697,184.00","S/. 973,166.84",
2103590,"MEJORAMIENTO DE VIAS PEATONALES  DE LA  AV.  JOSE LUIS  ORBEGOSO, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 378,483.00","S/. 401,909.46",
2103592,"MEJORAMIENTO DE VIAS PEATONALES EN LAS AVENIDAS TEODOSIO SERRUDO, LUIS UZATEGUI Y TRANSVERSALES DE LAS APVS CORIPATA SUR Y DOLORESPATA  DEL DISTRITO DE SANTIAGO-CUSCO-CUSCO","S/. 350,700.29","S/. 276,594.36",
2103603,"MEJORAMIENTO DE VÍAS VEHICULARES Y PEATONALES EN LAS CALLES CHOQUEQUIRAO, TAMBOMACHAY, SACSAYHUAMAN, QORICANCHA E INTIHUATANA  EN EL  ASENTAMIENTO HUMANO DE ARAHUAY , DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 1,006,755.00","S/. 1,409,316.54",
2103823,"MEJORAMIENTO DEL ESPACIO PUBLICO ABIERTO  ENTRE LA AUTOPISTA CUSCO - ABANCAY Y JR. LOS JARDINES DE  LA APV. CONSTRUCCION CIVIL Y  DIGNIDAD NACIONAL  , DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 714,964.00","S/. 975,440.09",17/09/2019 12:42:20 p.m.
2104592,"MEJORAMIENTO Y AMPLIACION DE INFRAESTRUCTURA DE LA INSTITUCION  EDUCATIVA INTEGRADA ROSA DE AMERICA N 57004 DEL DISTRITO SANTO TOMAS, PROVINCIA DE CHUMBIVILCAS - CUSCO","S/. 2,647,321.00","S/. 3,706,151.21",
