region,cui,nombre_pip,funcion,division_funcional,grupo_funcional,sector_responsable,brechas,opmi,uf,uei,uep,gps,departamento,provincia,distrito,centro_poblado
piura,2043362,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y SANEAMIENTO EN LA CIUDAD DE  AYABACA, PROVINCIA DE AYABACA - PIURA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÈBLICA O PILETA PÈBLICA
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    6500
                                
                            
                            
                                
                                    SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICI‡N SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    6500",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE AYABACA - PIURA,UF DE LA MUNICIPALIDAD PROVINCIAL DE AYABACA (UFMPYBC001 -  CARLOS ALBERTO  CHACON LOPEZ),UEIPI-GSRLCC - (UEIPI-GSRLCC - FRANCISCO CASTRO CASTRO),301538 - REGION PIURA-GERENCIA LUCIANO CASTILLO COLONNA,-4.6399841099999435 / -79.71580763999998,PIURA,AYABACA,AYABACA,
piura,2045448,"AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO  DEL CENTRO POBLADO VISTA FLORIDA, DISTRITO DE MARCAVELICA - SULLANA - PIURA",,,,,,OPMI DE LA MUNICIPALIDAD DISTRITAL DE MARCAVELICA,DIVISION DE DESARROLLO URBANO ( -  ),- ( - ),-,0,0,0,0,0
piura,2049215,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LAS CALLES DEL AH MANUEL SEOANE DEL DISTRITO DE SULLANA, PROVINCIA DE SULLANA - PIURA",TRANSPORTE,TRANSPORTE URBANO,V÷AS URBANAS,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE MOVILIDAD URBANA
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVêS DE PISTAS Y VEREDAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    413",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA (UFMPSLL1 - MARCO ZEGARRA RAMIREZ),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA - (UEIMPSLL002 - OSCAR HUMBERTO CASTANEDA SEVILLANO),301573 - MUNICIPALIDAD PROVINCIAL DE SULLANA,-4.8913026299999270 / -80.68830767999998,PIURA,SULLANA,SULLANA,A.H. MANUEL SEOANE
piura,2053819,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO EN LOS CASERIOS DE LA LEGUA, SAN JACINTO, BUENOS AIRES, PALO PARADO Y LOS OLIVOS, EN EL DISTRITO DE CATACAOS, PROVINCIA DE PIURA - PIURA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICI‡N SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    11557",OPMI DE LA MUNICIPALIDAD DISTRITAL DE CATACAOS,UF DE LA MUNICIPALIDAD DISTRITAL DE CATACAOS (UFMDCTC2 - IOSIF MIJAIL ALEXANDER DIEGUEZ CORONADO),UEI DE LA MUNICIPALIDAD DISTRITAL DE CATACAOS - (UEIMDCTC2 - EDER ALBERTO ROBLEDO GONZALES),301531 - MUNICIPALIDAD DISTRITAL DE CATACAOS,-5.26414442 / -80.676670,PIURA,PIURA,CATACAOS,LA LEGUA-SAN JACINTO (LA LEGUA)
piura,2054702,"REHABILITACION Y RECONSTRUCCION DE LA INFRAESTRUCTURA Y EQUIPAMIENTO EN LA IE POLITECNICO ALEJANDRO TABOADA DEL AH SAN PEDRO, PROVINCIA DE TALARA - PIURA",EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N SECUNDARIA,EDUCACION,"SERVICIO DE EDUCACI‡N SECUNDARIA
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACI‡N SECUNDARIA CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    10.59",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TALARA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TALARA (MPTSGFPIJMVB - JUAN MANUEL VALLE BALDA),UEI DE LA MUNICIPALIDAD PROVINCIAL DE TALARA - (MPTUEIJCL - JOSE CARLOS CAMPOS LOPEZ),301581 - MUNICIPALIDAD PROVINCIAL DE TALARA - PARI•AS,0,0,0,0,0
piura,2054933,"REHABILITACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA DEL ESTADIO MUNICIPAL Y DESARROLLO DE CAPACIDADES EN DISCIPLINAS DEPORTIVAS LA DRAGA, DISTRITO DE LA BREA - TALARA - PIURAES",,,,,,OPMI DE LA MUNICIPALIDAD DISTRITAL DE LA BREA,DEPARTAMENTO DE ESTUDIOS Y PROYECTOS (UNIDAD FORMULADORA) ( -  ),- ( - ),-,0,0,0,0,0
piura,2056329,"AMPLIACION, MEJORAMIENTO DEL ESTADIO CAMPEONES DEL 36 SULLANA, PROVINCIA DE SULLANA - PIURA",,,,,,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,SUB GERENCIA DE ESTUDIOS Y FORMULACION  DE PROYECTOS (MPMPSLL000 - ANA PAOLA HO VALDIVIESO),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA - (UEIMPSLL - SIGIFREDO PASACHE ARAUJO),301573 - MUNICIPALIDAD PROVINCIAL DE SULLANA,-4.89130259 / -80.688310,PIURA,SULLANA,SULLANA,
piura,2056362,MEJORAMIENTO DE LA CARRETERA MALLARES-CENTRO POBLADO EL ANGOLO-DISTRITO DE MERCAVELICA-PROVINCIA DE SULLANA - PIURA,,,,,,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA (UFMPSLL1 - MARCO ZEGARRA RAMIREZ),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA - (UEIMPSLL1 - ARTURO RAMOS RIVAS),301573 - MUN. PRO. DE SULLANA,0,0,0,0,0
piura,2056438,AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA UPIS LUIS ANTONIO EGUIGUREN DEL DISTRITO DE PIURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE POBLACI‡N URBANA QUE NO TIENE CONTINUIDAD DEL SERVICIO DE AGUA POTABLE
                                
                                
                                    HORAS
                                
                                
                                    DISTRITAL
                                
                                
                                    10
                                
                            
                            
                                
                                    SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÈBLICA O PILETA PÈBLICA
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    10472
                                
                            
                            
                                
                                    SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE VIVIENDAS URBANAS CON SERVICIO DE AGUA CON CLORO RESIDUAL MENOR AL L÷MITE PERMISIBLE (0.5 MG/L)
                                
                                
                                    MG/L
                                
                                
                                    DISTRITAL
                                
                                
                                    5
                                
                            
                            
                                
                                    SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICI‡N SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    10472",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE PIURA,UF DE LA MUNICIPALIDAD PROVINCIAL DE PIURA (UFMUNIPIURA - FELIX GERARDO ROSILLO CASTILLO),UEI DE LA MUNICIPALIDAD PROVINCIAL DE PIURA - (UEIMPIU - JOSE MARTIN VALERIO ALCIVAR),132 - HOSPITAL NACIONAL HIPOLITO UNANUE,0,0,0,0,0
piura,2056440,MEJORAMIENTO Y AMPLIACI‡N DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE QUêRECOTILLO - SULLANA - PIURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE AGUA POTABLE URBANO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÈBLICA O PILETA PÈBLICA
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    13477
                                
                            
                            
                                
                                    SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICI‡N SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    13477",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA (UFMPSLL1 - MARCO ZEGARRA RAMIREZ),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA - (UEIMPSLL002 - OSCAR HUMBERTO CASTANEDA SEVILLANO),301573 - MUNICIPALIDAD PROVINCIAL DE SULLANA,0,0,0,0,0
piura,2057346,MEJORAMIENTO DE LA I.E. FE Y ALEGRIA Nß 15 DEL AA.HH. EL INDIO DEL DISTRITO DE CASTILLA-PIURA - PIURA,EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N PRIMARIA,EDUCACION,"SERVICIO DE EDUCACION PRIMARIA
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACI‡N PRIMARIA CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    1072",OPMI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA,UF DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA (UFMDCTL001 - SILVIA LILIANA CALLE CALLE),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIPI - MARTIN EDUARDO SAAVEDRA MORE),892 - REGION PIURA-SEDE CENTRAL,-5.2252102830105610 / -80.61675234169252,PIURA,PIURA,CASTILLA,CASTILLA
piura,2070374,"INSTALACION DEL SISTEMA  DE ALCANTARILLADO EN LA ESMERALDA, LOCALIDAD DE SAN LUCAS DE COLAN, DISTRITO DE  COLAN, PROVINCIA DE PAITA - PIURA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICI‡N SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    2750
                                
                            
                            
                                
                                    SERVICIO DE TRATAMIENTO DE AGUAS RESIDUALES PARA DISPOSICI‡N FINAL
                                
                                
                                    PORCENTAJE DE VOLUMEN DE AGUAS RESIDUALES NO TRATADAS
                                
                                
                                    M3
                                
                                
                                    DISTRITAL
                                
                                
                                    228244.72",OPMI DE LA MUNICIPALIDAD DISTRITAL DE COLAN,UF DE LA MUNICIPALIDAD DISTRITAL DE COLAN (UFMDCLN - RENAN VALLADARES GARCIA),UEI DE LA MUNICIPALIDAD DISTRITAL DE COLAN - (UEIMDCLN01 - RENAN VALLADARES GARCIA),301569 - PROGRAMA AGUA PARA TODOS,0,0,0,0,0
piura,2073700,MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE EL ALTO - TALARA - PIURA,,,,,,OPMI DE LA MUNICIPALIDAD DISTRITAL DE EL ALTO,OFICINA DE PREINVERSI‡N ( -  ),- ( - ),-,0,0,0,0,0
piura,2077937,"AMPLIACI‡N DE INFRAESTRUCTURA Y EQUIPAMIENTO PARA MEJORAR ACCIONES DE   PROMOCI‡N,  PREVENCI‡N Y  RECUPERACI‡N CON ENFASIS A LA MADRE Y EL NI•O EN EL CENTRO DE SALUD LA UNI‡N",SALUD,SALUD INDIVIDUAL,ATENCI‡N MêDICA BµSICA,SALUD,"SERVICIO DE ATENCI‡N DE SALUD BµSICOS
                                
                                
                                    PORCENTAJE DE ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCI‡N CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    ESTABLECIMIENTO DE SALUD
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL PIURA,UF DE LA DIRECCION REGIONAL DE SALUD PIURA (UFDIRESAPI - MANUEL LEONIDAS HIDALGO LEON),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIPI - MARTIN EDUARDO SAAVEDRA MORE),899 - REGION PIURA-SEDE CENTRAL,-5.4043342199999530 / -80.74421963999998,PIURA,PIURA,LA UNION,LA UNION
piura,2081915,"CONSTRUCCION Y EQUIPAMIENTO DE ALAMEDA EN LUIS NEGREIROS VEGA, PROVINCIA DE TALARA - PIURA",CULTURA Y DEPORTE,DEPORTES,INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,EDUCACION,"SERVICIO DE PRµCTICA DEPORTIVA Y/O RECREATIVA
                                
                                
                                    PORCENTAJE DE INSTALACIONES DEPORTIVAS Y /O RECREATIVAS EN CONDICIONES INADECUADAS
                                
                                
                                    INSTALACIONES DEPORTIVAS Y/O RECREATIVAS
                                
                                
                                    DISTRITAL
                                
                                
                                    3.50",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TALARA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TALARA (MPTSGFPIJMVB - JUAN MANUEL VALLE BALDA),UEI DE LA MUNICIPALIDAD PROVINCIAL DE TALARA - (MPTUEIJCL - JOSE CARLOS CAMPOS LOPEZ),301581 - MUNICIPALIDAD PROVINCIAL DE TALARA - PARI•AS,-4.5809430299999585 / -81.27192959999996,PIURA,TALARA,PARI•AS,
piura,2081981,"CONSTRUCCION Y MEJORAMIENTO DE ACCESO A PLAYA LAS PE•ITAS, PROVINCIA DE TALARA - PIURA",TRANSPORTE,TRANSPORTE URBANO,V÷AS URBANAS,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE MOVILIDAD URBANA
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVêS DE PISTAS Y VEREDAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    134.25",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TALARA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TALARA (MPTSGFPIJMVB - JUAN MANUEL VALLE BALDA),UEI DE LA MUNICIPALIDAD PROVINCIAL DE TALARA - (MPTUEIJCL - JOSE CARLOS CAMPOS LOPEZ),301581 - MUN. PRO. DE TALARA - PARI•AS,-4.5809430299999585 / -81.27192959999996,PIURA,TALARA,PARI•AS,
piura,2083254,"MEJORAMIENTO DE ESTADIO PEDRO POTENCIANO CHOQUEHUANCA DE LA CIUDAD DE HUANCABAMBA, PROVINCIA DE HUANCABAMBA - PIURA",,,,,,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA,UF DE LA MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA (UFMPHBB002 - JOSE DEL CARMEN TIPARRA TORRES),- ( - ),-,0,0,0,0,0
