región,tipodeservicio,ndeinforme,entidad,títulodelinforme,evento,operativo,npersonasconpresuntarespons,tipoderesponsabilidad,fechaemisión,fechaconclusión,fechapublicación,informe,ficharesumen
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,012-2019-2-0360,MUNICIPALIDAD PROVINCIAL DE LA UNION,Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria de la Municipalidad Provincial de La Unión - 2019,,,2,ADMINISTRATIVO ENTIDAD,07/10/2019,07/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO036000025_ADJUNTO.pdf 2019CPO036000025,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO036000025.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,005-2019-2-0362,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,"DOTACIÓN DE COMBUSTIBLE A LAS MUNICIPALIDADES DISTRITALES DE ANDRÉS AVELINO CÁCERES, SAN JUAN BAUTISTA Y LA MUNICIPALIDAD PROVINCIAL DE HUAMANGA",,,3,PENAL ADMINISTRATIVO ENTIDAD,28/10/2019,28/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO036200015_ADJUNTO.pdf 2019CPO036200015,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO036200015.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,007-2019-2-0362,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,"Servicio de instalación de cobertura metálica con policarbonato en la losa deportiva del Jr. Mariano Bellido, Distrito de San Juan Bautista.",,,3,PENAL ADMINISTRATIVO ENTIDAD,20/11/2019,20/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO036200016_ADJUNTO.pdf 2019CPO036200016,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO036200016.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,016-2019-2-0363,MUNICIPALIDAD PROVINCIAL DE HUANTA,"Expediente Técnico, Ejecución y Liquidación de la obra Mejoramiento de pistas veredas en las calles de Antenor Orrego, de la Riva Agüero, Velando, Miguel Grau, Ricardo Palma, Pje. Orrego y Garcilaso de la Vega, Huanta.",,,8,CIVIL ADMINISTRATIVO ENTIDAD,28/10/2019,04/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO036300040_ADJUNTO.pdf 2019CPO036300040,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO036300040.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,018-2019-2-0364,MUNICIPALIDAD PROVINCIAL DE LA MAR,"Ejecución de la contratación del servicio de consultoría para la elaboración del expediente técnico del proyecto: ""Creación de centros de desarrollo y vigilancia en niños menores de 05 años y madres gestantes para reducir la tasa de desnutrición crónica en los ocho centros poblados de la provincia de La Mar - Ayacucho""",,,5,PENAL ADMINISTRATIVO ENTIDAD,30/10/2019,04/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO036400072_ADJUNTO.pdf 2019CPO036400072,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO036400072.pdf
CAJAMARCA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,018-2019-2-0368,MUNICIPALIDAD PROVINCIAL DE CAJAMARCA,"ADICIONAL DE OBRA N.º 01 DE LA OBRA: CREACIÓN DEL MERCADO ZONAL SUR, DISTRITO DE CAJAMARCA, PROVINCIA DE CAJAMARCA-CAJAMARCA",,,4,PENAL ADMINISTRATIVO ENTIDAD,12/11/2019,13/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO036800062_ADJUNTO.pdf 2019CPO036800062,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO036800062.pdf
CAJAMARCA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,023-2019-2-0378,MUNICIPALIDAD PROVINCIAL DE SANTA CRUZ,"PROCESO DE CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO: ""MEJORAMIENTO DEL CAMINO VECINAL LA LAGUNA - SAN JUAN DE DIOS - EL ROBLE - PAN DE AZÚCAR, DISTRITO DE PULÁN - PROVINCIA DE SANTA CRUZ - CAJAMARCA""",,,9,PENAL ADMINISTRATIVO ENTIDAD,06/11/2019,06/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO037800037_ADJUNTO.pdf 2019CPO037800037,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO037800037.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,036-2019-2-0406,MUNICIPALIDAD DISTRITAL DE SALAS-ICA,"CUMPLIMIENTO DEL PLAZO CONTRACTUAL DE LA OBRA MEJORAMIENTO DEL SERVICIO DE LA LOSA DEPORTIVA EN EL CENTRO POBLADO PUNTA HERMOSA, DISTRITO DE SALAS ICA ICA",,,1,CIVIL ADMINISTRATIVO ENTIDAD,07/11/2019,13/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO040600098_ADJUNTO.pdf 2019CPO040600098,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO040600098.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,022-2019-2-0408,MUNICIPALIDAD PROVINCIAL DE PALPA,"PROCESO DE SELECCIÓN, MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE DE VIZCAS - CARLOS TIJERO, DISTRITO Y PROVINCIA DE PALPA, ICA",,,3,PENAL ADMINISTRATIVO ENTIDAD,03/11/2019,04/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO040800062_ADJUNTO.pdf 2019CPO040800062,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO040800062.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,025-2019-2-0425,MUNICIPALIDAD PROVINCIAL DE CHICLAYO,"CONTRATACIÓN Y EJECUCIÓN DEL SERVICIO DE ELABORACIÓN DE EXPEDIENTE TÉCNICO DE LA OBRA REHABILITACIÓN DE LA AV. LAS AMÉRICAS, ENTRE LA AV. MIGUEL GRAU HASTA LA AV. CIEZA DE LEÓN",,,12,PENAL ADMINISTRATIVO ENTIDAD,30/10/2019,30/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO042500057_ADJUNTO.pdf 2019CPO042500057,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO042500057.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,017-2019-2-0427,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,"Procedimiento de Selección L.P.N° 1-2016-MPL/CS Ejecución de obra mejoramiento del Servicio de Actividades Deportivas, Recreativas y Culturales en el Parque Infantil Victoria Mejía de García, de la ciudad de Lambayeque, Provincia de Lambayeque, Lambayeque.",,,3,ADMINISTRATIVO ENTIDAD,21/10/2019,21/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO042700095_ADJUNTO.pdf 2019CPO042700095,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO042700095.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,032-2019-2-0432,MUNICIPALIDAD PROVINCIAL DE HUARAL,"CONTRATACIONES DE SERVICIOS DE ALQUILER DE MAQUINARIA PESADA CON IMPORTES IGUALES O MENORES A 8 UITS, ENTRE LOS MESES DE ENERO - AGOSTO DEL AÑO 2018",,,4,ADMINISTRATIVO ENTIDAD,05/11/2019,06/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO043200064_ADJUNTO.pdf 2019CPO043200064,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO043200064.pdf
UCAYALI,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,016-2019-2-0477,MUNICIPALIDAD PROVINCIAL DE CORONEL PORTILLO,"EJECUCIÓN DE LA OBRA: ""MEJORAMIENTO DE LAS VÍAS TRANSVERSALES A LA AVENIDA CENTENARIO DESDE EL KM 0+000 AL 5+000, DISTRITO DE CALLERÍA Y YARINACOCHA, PROVINCIA DE CORONEL PORTILLO - UCAYALI - I TRAMO""",,,5,PENAL ADMINISTRATIVO ENTIDAD,19/11/2019,20/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO047700041_ADJUNTO.pdf 2019CPO047700041,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO047700041.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,017-2019-2-0617,AUTORIDAD AUTÓNOMA DE MAJES,"Servicio de Control Específico a Hechos de Presunta Irregularidad: Adquisiciones menores a 8 UIT de tóner, tintas para impresión y productos agroquímicos",,,5,PENAL ADMINISTRATIVO ENTIDAD,05/11/2019,05/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO061700043_ADJUNTO.pdf 2019CPO061700043,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO061700043.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,010-2019-2-0633,GOBIERNO REGIONAL LAMBAYEQUE HOSPITAL REGIONAL DOCENTE LAS MERCEDES,"""LICITACIÓN PÚBLICA Nº 001-2018-HRDLMCH ADQUISICIÓN DE VALES Y/O TARJETAS ELECTRÓNICAS PARA PRENDAS DE VESTIR (PANTALÓN, CAMISA, BLUSA Y OTROS) PARA PERSONAL ADMINISTRATIVO Y ASISTENCIAL DEL HOSPITAL REGIONAL DOCENTE LAS MERCEDES - CHICLAYO""",,,9,CIVIL PENAL ADMINISTRATIVO ENTIDAD,05/11/2019,05/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO063300025_ADJUNTO.pdf 2019CPO063300025,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO063300025.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,013-2019-2-0723,DIRECCIÓN REGIONAL DE EDUCACIÓN DE ICA,ASIGNACIÓN DE ALIMENTOS A PERSONAL COMPRENDIDO EN LA LEY DE REFORMA MAGISTERIAL,,,3,CIVIL ADMINISTRATIVO ENTIDAD,31/10/2019,04/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO072300072_ADJUNTO.pdf 2019CPO072300072,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO072300072.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,027-2019-2-1323,MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,"Servicio de Control Específico a hechos con presunta irregularidad a Municipalidad Distrital de Cerro Colorado: ""Proceso de contratación a la adquisición de alza contenedores para la Gerencia de Servicios a la Ciudad y Ambiente""",,,3,PENAL ADMINISTRATIVO ENTIDAD,24/10/2019,25/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO132300076_ADJUNTO.pdf 2019CPO132300076,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO132300076.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,015-2019-2-2161,MUNICIPALIDAD DISTRITAL DE MIRAFLORES-LIMA,CONTRATACIÓN DE LOCADOR Y RECLUTAMIENTO DE PERSONAL PARA LA GERENCIA DE SEGURIDAD CIUDADANA,,,4,ADMINISTRATIVO ENTIDAD,26/11/2019,26/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO216100073_ADJUNTO.pdf 2019CPO216100073,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO216100073.pdf
UCAYALI,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,020-2019-2-2684,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD,"""PAGO DE MOVILIDAD A FAVOR DE FUNCIONARIOS Y SERVIDORES""",,,5,CIVIL ADMINISTRATIVO ENTIDAD,15/11/2019,19/11/2019,25/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO268400128_ADJUNTO.pdf 2019CPO268400128,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO268400128.pdf
AMAZONAS,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,025-2019-2-2901,MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA,APROBACIÓN Y PAGO DE BENEFICIOS EFECTUADOS A EMPLEADOS QUE EJERCIERON CARGOS DE CONFIANZA,,,11,CIVIL ADMINISTRATIVO ENTIDAD,07/11/2019,18/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO290100067_ADJUNTO.pdf 2019CPO290100067,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO290100067.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,016-2019-2-2920,MUNICIPALIDAD PROVINCIAL DE HUANCASANCOS,"""Procedimiento de selección para la ejecución de la obra: Ampliación y Mejoramiento del servicio de educativo inicial N.° 226/MX-P del Centro Poblado del distrito de Sancos, provincia Huanca Sancos- región Ayacucho, y sustitución del Residente de Obra durante su ejecución"".",,,3,CIVIL PENAL ADMINISTRATIVO ENTIDAD,04/11/2019,07/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO292000033_ADJUNTO.pdf 2019CPO292000033,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO292000033.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,033-2019-2-2960,MUNICIPALIDAD PROVINCIAL DE BARRANCA,CAMBIO DE CODIFICACIÓN DE PAPELETAS DE INFRACCIONES DE TRÁNSITO,,,6,ADMINISTRATIVO ENTIDAD,07/11/2019,07/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO296000070_ADJUNTO.pdf 2019CPO296000070,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO296000070.pdf
ANCASH,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,017-2019-2-3948,MUNICIPALIDAD DISTRITAL DE NUEVO CHIMBOTE,"Obra: Creación del Polideportivo Villa María en el Sector I de Nuevo Chimbote, Distrito de Nuevo Chimbote - Santa - Ancash",,,3,PENAL ADMINISTRATIVO ENTIDAD,14/11/2019,15/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO394800048_ADJUNTO.pdf 2019CPO394800048,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO394800048.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,024-2019-2-4155,MUNICIPALIDAD PROVINCIAL DE HUAURA,"CONTRATACIÓN DE EJECUTOR Y AUXILIARES COACTIVOS, BAJO EL REGIMEN ESPECIAL DE CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS",,,3,ADMINISTRATIVO ENTIDAD,02/10/2019,02/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO415500052_ADJUNTO.pdf 2019CPO415500052,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO415500052.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,051-2019-2-5334,GOBIERNO REGIONAL AREQUIPA,Servicio de Control Específico a hechos con presunta irregularidad: Proceso de contratación para el servicio de alquiler de dos motobombas para emergencia por sequía en el valle de Tambo,,,2,PENAL ADMINISTRATIVO ENTIDAD,15/10/2019,16/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO533400135_ADJUNTO.pdf 2019CPO533400135,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO533400135.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,025-2019-2-5335,GOBIERNO REGIONAL AYACUCHO,"Elaboración y supervisión del expediente técnico del proyecto: Mejoramiento de los servicios educativos en la EIP María Auxiliadora del distrito de Huanta, provincia de Huanta - Ayacucho",,,8,PENAL ADMINISTRATIVO ENTIDAD,21/10/2019,21/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO533500053_ADJUNTO.pdf 2019CPO533500053,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO533500053.pdf
AYACUCHO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,031-2019-2-5335,GOBIERNO REGIONAL AYACUCHO,"Ampliaciones de plazo en la ejecución del contrato n.° 103-2014-GRA-SEDE CENTRAL-UPL, para la elaboración del expediente técnico y ejecución de obra del proyecto de inversión pública de código SNIP n.° 237732",,,6,CIVIL ADMINISTRATIVO ENTIDAD,18/11/2019,19/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO533500059_ADJUNTO.pdf 2019CPO533500059,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO533500059.pdf
CAJAMARCA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,028-2019-2-5336,GOBIERNO REGIONAL CAJAMARCA,"AMPLIACIONES DE PLAZO NOS 1 Y 2 DE LA OBRA: MEJORAMIENTO DE LA I.E. DULCE NOMBRE DE JESÚS, DISTRITO JESÚS, PROVINCIA CAJAMARCA, CAJAMARCA",,,4,PENAL ADMINISTRATIVO ENTIDAD,19/11/2019,20/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO533600080_ADJUNTO.pdf 2019CPO533600080,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO533600080.pdf
HUANCAVELICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,032-2019-2-5338,GOBIERNO REGIONAL HUANCAVELICA,"EJECUCIÓN DEL CONTRATO N° 120-2018/ORA, DE LA ADQUISICION DE 170 MOTOS LINEALES.",,,2,PENAL ADMINISTRATIVO ENTIDAD,24/10/2019,25/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO533800082_ADJUNTO.pdf 2019CPO533800082,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO533800082.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,015-2019-2-5340,GOBIERNO REGIONAL ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD - GOBIERNO REGIONAL DE ICA/DIRECCIÓN REGIONAL AGRARIA - CONTRATACIÓN DE SERVICIOS PARA LA INSTALACIÓN DE PUERTAS Y VENTANAS EN OBRA RECONSTRUCCIÓN DEL LOCAL INSTITUCIONAL,,,10,PENAL ADMINISTRATIVO ENTIDAD,08/11/2019,04/12/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO534000049_ADJUNTO.pdf 2019CPO534000049,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO534000049.pdf
