ruc_proveedor,ruc_nombre,tipo_inscripcion,nombre_comercial,fecha_inscripcion,estado_contribuyente,condicion_contribuyente,direccion,actividades
20101069827,INTEGRAL S A,SOCIEDAD ANONIMA,-,27/01/1993,ACTIVO,HABIDO,PQ. HERNAN VELARDE NRO. 46 URB. SANTA BEATRIZ (ALT. CDRA 2 AV. ARENALES) LIMA - LIMA - LIMA,"PRINCIPAL - 7490 - OTRAS ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS N.C.P."
20101279635,IMPORTACIONES Y REPRESENTACIONES ELECTRONICAS S.A.,SOCIEDAD ANONIMA,IRE,27/01/1993,ACTIVO,HABIDO,JR. PUMACAHUA NRO. 955 LIMA - LIMA - JESUS MARIA,PRINCIPAL - 4773 - VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS
20101281966,DENT IMPORT S A,SOCIEDAD ANONIMA,DENT IMPORT SA,27/01/1993,ACTIVO,HABIDO,JR. TEODORO CARDENAS NRO. 155 URB. SANTA BEATRIZ (EDIFICIO 1ER PISO) LIMA - LIMA - LIMA,"PRINCIPAL - 4772 - VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS, COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS"
20101331653,DESSAU S&Z S.A.,SOCIEDAD ANONIMA,DESSAU S&Z,27/01/1993,ACTIVO,HABIDO,AV. DEL PARQUE NORTE NRO. 1174 URB. SAN BORJA LIMA - LIMA - SAN BORJA,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20101391397,COMERCIAL INDUSTRIAL DELTA S A CIDELSA,SOCIEDAD ANONIMA,CIDELSA,09/03/1993,ACTIVO,HABIDO,AV. PEDRO MIOTA NRO. 910 URB. SAN JUAN (ZONA INDUSTRIAL NO MOLESTA) LIMA - LIMA - SAN JUAN DE MIRAFLORES,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20101446639,COMPANIA INDUSTRIAL DE MATERIALES ELECTRO MECANICOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,SOC.COM.RESPONS. LTDA,CIMELCO,09/03/1993,ACTIVO,HABIDO,AV. MAQUINARIAS NRO. 1847 LIMA - LIMA - LIMA,PRINCIPAL - 2829 - FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL
20101759173,DEMEM S A,SOCIEDAD ANONIMA,DEMEM.S A,09/03/1993,ACTIVO,HABIDO,AV. GEMINIS NRO. 318 URB. PAPA JUAN XXIII (ENTRE AV. SAN LUIS Y ANGAMOS VOLTEAR U) LIMA - LIMA - SAN BORJA,PRINCIPAL - 3311 - REPARACION DE PRODUCTOS ELABORADOS DE METAL
20101991319,WORTEC SOCIEDAD ANONIMA,SOCIEDAD ANONIMA,WORTEC S A,09/03/1993,ACTIVO,HABIDO,AV. DEL PINAR NRO. 124 INT. 302 URB. CHACARILLA DEL ESTANQUE LIMA - LIMA - SANTIAGO DE SURCO,PRINCIPAL - 4773 - VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS
20102084595,COMPANIA DE SERVICIOS VICUGNA S A,SOCIEDAD ANONIMA,VICUGNA S.A,09/03/1993,ACTIVO,HABIDO,CAL.DOMINGO DE LA PRESA NRO. 345 URB. VALLE HERMOSO ESTE LIMA - LIMA - SANTIAGO DE SURCO,"PRINCIPAL - 7490 - OTRAS ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS N.C.P."
20102120494,FERMET S R L,SOC.COM.RESPONS. LTDA,FERMET SRL,09/03/1993,ACTIVO,HABIDO,"CAL.CONSTELACION AUSTRAL, ANTES ALIPIO PONCE NRO. 142 URB. LA CAMPINA (ESPALDA DE LA ESCUELA SUPERIOR DE POLICI) LIMA - LIMA - CHORRILLOS","PRINCIPAL - 4752 - VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA, PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS"
20102314698,ECONOGAS S.R.LTDA.,SOC.COM.RESPONS. LTDA,ECONOGAS,21/04/1993,ACTIVO,HABIDO,AV. PETIT THOUARS NRO. 1292 INT. 02 URB. SANTA BEATRIZ LIMA - LIMA - LIMA,"PRINCIPAL - 4661 - VENTA AL POR MAYOR DE COMBUSTIBLES SOLIDOS, LIQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS"
20102847670,REPRESENTACIONES GUESS EIRL,EMPRESA INDIVIDUAL DE RESP. LTDA,-,21/04/1993,ACTIVO,HABIDO,JR. JUNIN NRO. 530 INT. 101 PIURA - PIURA - PIURA,PRINCIPAL - 6209 - OTRAS ACTIVIDADES DE TECNOLOGIA DE LA INFORMACION Y DE SERVICIOS INFORMATICOS
20102937661,VULCANO S.R.L,SOC.COM.RESPONS. LTDA,-,06/02/1995,ACTIVO,HABIDO,PQ. 23 NRO. 20 A PIURA - TALARA - PARINAS,"PRINCIPAL - 7490 - OTRAS ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS N.C.P."
20102962347,EMPRESA DE COMERCIALIZACION Y TECNOLOGIA DE SERVICIOS INDUSTRIALES SOCIEDAD ANON IMA CERRADA,SOCIEDAD ANONIMA CERRADA,EMCOTESI SAC,21/04/1993,ACTIVO,HABIDO,MZA. B LOTE. S/N Z.I. ZONA IND. TALARA BAJA (FRENTE A DIVING DEL PERU SAC) PIURA - TALARA - PARINAS,PRINCIPAL - 7820 - ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL
20103044155,NEGOCIOS GENERALES MORANA SRL,SOC.COM.RESPONS. LTDA,NEGOCIOS GENERALES MORANA SRL,21/04/1993,ACTIVO,HABIDO,MZA. 227 LOTE. 2-3 Z.I. ZONA INDUSTRIAL (FRENTE A CONAFOVISER) PIURA - PIURA - PIURA,PRINCIPAL - 3100 - FABRICACION DE MUEBLES
20103358761,MULTISERVICIOS INTEGRALES RESGUARDO Y ALARMAS S.A.,SOCIEDAD ANONIMA,MIRA RESGUARDO SA,21/04/1993,ACTIVO,HABIDO,CAL.HUALLAGA NRO. 350 P.J. SAN FRANCISCO LAMBAYEQUE - CHICLAYO - CHICLAYO,PRINCIPAL - 8010 - ACTIVIDADES DE SEGURIDAD PRIVADA
20103365628,DISTRIBUCIONES OLANO S.A.C.,SOCIEDAD ANONIMA CERRADA,DISTRIBUCIONES OLANO SAC,21/04/1993,ACTIVO,HABIDO,CAL.LEONCIO PRADO NRO. 549 URB. EL PORVENIR LAMBAYEQUE - CHICLAYO - CHICLAYO,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
20105210338,RENSA VENTAS Y SERVICIOS S.R.L.,SOC.COM.RESPONS. LTDA,RENSA S.R.L.,21/04/1993,ACTIVO,HABIDO,AV. LORETO NRO. 175 CERCADO DE PIURA PIURA - PIURA - PIURA,"PRINCIPAL - 4752 - VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA, PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS"
20106878537,TECNOLOG SA,SOCIEDAD ANONIMA,-,21/04/1993,ACTIVO,HABIDO,CAR.PANAMERICANA SUR KM. 37.2 MZA. F2 LOTE. 04 LIMA - LIMA - PUNTA HERMOSA,PRINCIPAL - 2819 - FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO GENERAL
20107223810,PROMOTORA PANAMERICANA SA,SOCIEDAD ANONIMA,PROPANAM,21/04/1993,ACTIVO,HABIDO,AV. CAMINO REAL NRO. 985 DPTO. 1902 LIMA - LIMA - SAN ISIDRO,PRINCIPAL - 4690 - VENTA AL POR MAYOR NO ESPECIALIZADA
20108567369,"MONZON, FALCONI Y ASOCIADOS CONTADORES PUBLICOS S. CIVIL DE R.L.",SOCIEDAD CIVIL,MONZON FALCONI Y ASOCIADOS,21/04/1993,ACTIVO,HABIDO,AV. AREQUIPA NRO. 2450 INT. 1202 (EDIF EL DORADO) LIMA - LIMA - LINCE,"PRINCIPAL - 6920 - ACTIVIDADES DE CONTABILIDAD, TENEDURIA DE LIBROS Y AUDITORIA; CONSULTORIA FISCAL"
20109453057,ECOLOGIA Y TECNOLOGIA AMBIENTAL S.A.C,SOCIEDAD ANONIMA CERRADA,ECOTEC S.A.C.,21/04/1993,ACTIVO,HABIDO,AV. PETIT THOUARS NRO. 4957 INT. 501 (PISO 5) LIMA - LIMA - MIRAFLORES,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20109969452,IAN TAYLOR PERU S.A.C,SOCIEDAD ANONIMA CERRADA,-,21/04/1993,ACTIVO,HABIDO,AV. ARMENDARIZ NRO. 480 INT. 502 (AL FRENTE DEL INSTITUTO CAYETANO HEREDIA) LIMA - LIMA - MIRAFLORES,PRINCIPAL - 5222 - ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO
20111438227,ABASTECIMIENTOS INTERNACIONALES S.A.C,SOCIEDAD ANONIMA CERRADA,ABISA,21/04/1993,ACTIVO,HABIDO,AV. JOSE GALVEZ BARRENECHEA NRO. 190 INT. 4 URB. SANTA CATALINA LIMA - LIMA - LA VICTORIA,PRINCIPAL - 4610 - VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCION O POR CONTRATA
20114510042,FADISA EIRLTDA,EMPRESA INDIVIDUAL DE RESP. LTDA,-,31/03/2017,ACTIVO,HABIDO,JR. PUMACAHUA NRO. 335 URB. TAHUANTINSUYO (A DOS CUADRAS DEL SALON COMUNAL) CUSCO - CUSCO - CUSCO,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
20114672026,ASOCIACION ARARIWA PARA LA PROMOCION TEC NICO CULTURAL ANDINA,ASOCIACION,ASOCIACION ARARIWA,25/04/1993,ACTIVO,HABIDO,AV. LOS INCAS NRO. 1606 URB. CONSTANCIA CUSCO - CUSCO - WANCHAQ,PRINCIPAL - 9411 - ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES
20114689425,CIA ELECTRICA INGENIEROS S.R.L.,SOC.COM.RESPONS. LTDA,COELECTRIC INGENIEROS SRL,25/04/1993,ACTIVO,HABIDO,AV. HUAYRUROPATA NRO. 1449 HUAYRUROPATA (ESPALDAS IPSS) CUSCO - CUSCO - WANCHAQ,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
20114701221,REPUESTOS LIMA S.R.L.,SOC.COM.RESPONS. LTDA,REPUESTOS LIMA S.R.L.,25/04/1993,ACTIVO,HABIDO,AV. GARCILASO NRO. 508 CUSCO - CUSCO - WANCHAQ,"PRINCIPAL - 4530 - VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES"
20114743811,INDUSTRIAL MADERERA PROGRESO E.I.R.LTDA.,EMPRESA INDIVIDUAL DE RESP. LTDA,INDUSTRIAL MADERERA PROGRESO,25/04/1993,SUSPENSION TEMPORAL,HABIDO,NRO. I INT. 10 PARQUE INDUSTRIAL (FINAL DEL PARQUE INDUSTRIAL) CUSCO - CUSCO - WANCHAQ,PRINCIPAL - 1610 - ASERRADO Y ACEPILLADURA DE MADERA
20114821552,AGROVETERINARIA BELEN S.R.L.,SOC.COM.RESPONS. LTDA,AGROVETERINARIA BELEN SCRL,25/04/1993,ACTIVO,HABIDO,CAL.TRES CRUCES DE ORO NRO. 496 CUSCO - CUSCO - CUSCO,PRINCIPAL - 4620 - VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS
20116602581,FABRICA DE CONCRETOS ARTEAGA EIRLDA,EMPRESA INDIVIDUAL DE RESP. LTDA,FABRICA DE CONCRETOS ARTEAGA,25/04/1993,ACTIVO,HABIDO,AV. QOSQO MZA. X LOTE. 21 URB. TTIO (FRENTE AL PARQUE PUCLLAYCANCHA) CUSCO - CUSCO - WANCHAQ,"PRINCIPAL - 2395 - FABRICACION DE ARTICULOS DE HORMIGON, CEMENTO Y YESO"
20117920144,SECURITAS S.A.C.,SOCIEDAD ANONIMA CERRADA,SECURITAS S.A.C.,25/04/1993,ACTIVO,HABIDO,AV. JAVIER PRADO OESTE N 757 INT. 0002 Y 0003 NRO. 757 URB. SAN FELIPE LIMA - LIMA - MAGDALENA DEL MAR,PRINCIPAL - 8010 - ACTIVIDADES DE SEGURIDAD PRIVADA
20118201401,RIVERA DIESEL S.A.,SOCIEDAD ANONIMA,-,25/04/1993,ACTIVO,HABIDO,CAL.DOS MZA. C LOTE. 6 URB. INDUSTRIAL LA MERCED LIMA - LIMA - ATE,PRINCIPAL - 4659 - VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO
20119901180,COING CONTRATISTAS GENERALES S.C.R.LTDA.,SOC.COM.RESPONS. LTDA,-,27/04/1996,ACTIVO,HABIDO,CAL.SAN MARTIN NRO. 1143 TACNA - TACNA - POCOLLAY,PRINCIPAL - 4321 - INSTALACIONES ELECTRICAS
20121797314,CONSEGESA S.A.,SOCIEDAD ANONIMA,CONSEGESA,30/04/1993,ACTIVO,HABIDO,JR. ARICA NRO. 290 URB. LA MERCED JUNIN - CHANCHAMAYO - CHANCHAMAYO,PRINCIPAL - 4220 - CONSTRUCCION DE PROYECTOS DE SERVICIO PUBLICO
20125118501,MICRO AMERICA SISTEMAS Y SERVICIOS S.A.,SOCIEDAD ANONIMA,MICRO AMERICA SIST Y SERV S.A.,02/02/1994,ACTIVO,HABIDO,MZA. B LOTE. 9 URB. CASAPIA AREQUIPA - AREQUIPA - JOSE LUIS BUSTAMANTE Y RIVERO,"PRINCIPAL - 4651 - VENTA AL POR MAYOR DE ORDENADORES, EQUIPO PERIFERICO Y PROGRAMAS DE INFORMATICA"
20125309276,ANDEX DEL NORTE S A,SOCIEDAD ANONIMA,ANDEX DEL NORTE S A,30/04/1993,ACTIVO,HABIDO,AV. JAVIER PRADO ESTE NRO. 3569 LIMA - LIMA - SAN BORJA,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
20125684441,T-COPIA S.A.C.,SOCIEDAD ANONIMA CERRADA,T COPIA,30/04/1993,ACTIVO,HABIDO,AV. AREQUIPA NRO. 2875 LIMA - LIMA - SAN ISIDRO,"PRINCIPAL - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES"
20125831339,MASTER CHIP S.R.LTDA.,SOC.COM.RESPONS. LTDA,-,30/04/1993,ACTIVO,HABIDO,AV. RAYMUNDO CARCAMO NRO. 1087 URB. STA.CATALINA LIMA - LIMA - LA VICTORIA,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
20131376503,SERVIC NAC DE ADIESTRAM EN TRABAJ INDUST,UNIVERS. CENTROS EDUCAT. Y CULT.,SENATI,04/05/1993,ACTIVO,HABIDO,AV. ALFREDO MENDIOLA NRO. 3520 (CARR. PANAMERICANA NORTE KM. 15.2) LIMA - LIMA - INDEPENDENCIA,PRINCIPAL - 8530 - ENSENANZA SUPERIOR
20133417452,AGROPECUARIA CHIMU SRL,SOC.COM.RESPONS. LTDA,AGROPECUARIA CHIMU SRL,06/05/1993,ACTIVO,HABIDO,AV. CESAR VALLEJO NRO. 310 URB. PALERMO LA LIBERTAD - TRUJILLO - TRUJILLO,PRINCIPAL - 4773 - VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS
20133932659,CARRION AUTOMOTRIZ S.A,SOCIEDAD ANONIMA,MFMOTORCENTER,06/05/1993,ACTIVO,HABIDO,VIA.REGIONAL HCO-TINGO MARIA KM. 2.6 (FRENTE GRIFO PASTOR) HUANUCO - HUANUCO - AMARILIS,PRINCIPAL - 4510 - VENTA DE VEHICULOS AUTOMOTORES
20134100622,HURTADO-HERMOZA INGENIEROS CONSULTORES S.A. - H & H INGENIEROS CONSULTORES S.A.,SOCIEDAD ANONIMA,-,06/05/1993,ACTIVO,HABIDO,AV. GUZMAN BLANCO NRO. 240 DPTO. 901 LIMA - LIMA - LIMA,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20134294303,MAXAM PERU S.A.C.,SOCIEDAD ANONIMA CERRADA,MAXAM PERU SAC,06/05/1993,ACTIVO,HABIDO,CAL.ALCANFORES NRO. 495 INT. 413 URB. LEURO (AV. BENAVIDES EDIFICIO THUNDERBIRD) LIMA - LIMA - MIRAFLORES,PRINCIPAL - 2029 - FABRICACION DE OTROS PRODUCTOS QUIMICOS N.C.P.
20134944871,SAN CRISTOBAL LIBROS S.A.C.,SOCIEDAD ANONIMA CERRADA,SAN CRISTOBAL LIBROS S.A.C,08/05/1993,ACTIVO,HABIDO,JR. CAMANA NRO. 1039 (FRENTE A LA PLAZA FRANCIA) LIMA - LIMA - LIMA,"PRINCIPAL - 4761 - VENTA AL POR MENOR DE LIBROS, PERIODICOS Y ARTICULOS DE PAPELERIA EN COMERCIOS ESPECIALIZADOS"
20138651917,SANICENTER S.A.C.,SOCIEDAD ANONIMA CERRADA,SANICENTER S.A.C.,03/06/1993,ACTIVO,HABIDO,AV. ALFREDO MENDIOLA NRO. 965 URB. PALAO LIMA - LIMA - SAN MARTIN DE PORRES,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
20141739787,SERVICIOS DE INGENIERIA G.F. INGENIERO ASOCIADOS E.I.R.L,EMPRESA INDIVIDUAL DE RESP. LTDA,-,30/10/2018,ACTIVO,HABIDO,JR. CIRO ALEGRIA NRO. 698 OTR. OTROS (AL SUR DE LA AV CHACHAPOYAS 2 CUADRAS) AMAZONAS - UTCUBAMBA - BAGUA GRANDE,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20145038384,AQA QUIMICA SOCIEDAD ANONIMA,SOCIEDAD ANONIMA,AQA QUIMICA SOCIEDAD ANONIMA,29/06/1993,ACTIVO,HABIDO,AV. GENERAL GARZON NRO. 2210 LIMA - LIMA - JESUS MARIA,PRINCIPAL - 2029 - FABRICACION DE OTROS PRODUCTOS QUIMICOS N.C.P.
20147341637,TELERED IMPORTACIONES E.I.R.LTDA.,EMPRESA INDIVIDUAL DE RESP. LTDA,TELERED IMPORTACIONES E.I.R.L,01/07/1993,ACTIVO,HABIDO,AV. SOLL NRO. 814 INT. 210 (MEDIA CDR ABJ CORREO C2P) CUSCO - CUSCO - CUSCO,PRINCIPAL - 6190 - OTRAS ACTIVIDADES DE TELECOMUNICACIONES
20154727826,CONSTRUCTORA Y SERVICIOS RODEMA E.I.R.L,EMPRESA INDIVIDUAL DE RESP. LTDA,COSERO EIRL,04/07/1993,ACTIVO,HABIDO,CAL.JOSE GRANDA NRO. 459 URB. COUNTRY CLUB (ALTURA CUADRA 19 JAVIER PRADO OESTE) LIMA - LIMA - SAN ISIDRO,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20155236389,HC & ASOCIADOS S.R.L.,SOC.COM.RESPONS. LTDA,HC & A,04/07/1993,ACTIVO,HABIDO,CAL.MARTIR JOSE OLAYA NRO. 129 DPTO. 1501 (OVALO DE MIRAFLORES) LIMA - LIMA - MIRAFLORES,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20159363121,MUNICIPALIDAD DISTRITAL DE HUANOQUITE,"GOBIERNO REGIONAL, LOCAL",-,24/07/1993,ACTIVO,HABIDO,PZA.DE ARMAS NRO. S/N CUSCO - PARURO - HUANOQUITE,PRINCIPAL - 8411 - ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL
20161354377,ARPE EIRL,EMPRESA INDIVIDUAL DE RESP. LTDA,-,24/07/1993,ACTIVO,HABIDO,AV. GRAU NRO. SN NEGRITOS (COSTADO ENOSA) PIURA - TALARA - LA BREA,PRINCIPAL - 4923 - TRANSPORTE DE CARGA POR CARRETERA
20161864812,INVERSIONES METALICAS S.A.,SOCIEDAD ANONIMA,INMETSA,24/07/1993,ACTIVO,HABIDO,CAL.JUAN NOLBERTO ELESPURU NRO. 830 (A UNA CUADRA DE PASTELERIA SAN ANTONIO) LIMA - LIMA - SAN ISIDRO,PRINCIPAL - 2511 - FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL
20166103054,CASA OMAR CUSCO S.R.L.,SOC.COM.RESPONS. LTDA,CASA OMAR CUSCO S.R.L.,13/08/1993,ACTIVO,HABIDO,CAL.MARQUEZ NRO. 246 (AL LADO DE ALMACENES SPORTING) CUSCO - CUSCO - CUSCO,"PRINCIPAL - 4641 - VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO"
20167700277,EMPRESA DE TRANSPORTES ROMERO S.R.L.,SOC.COM.RESPONS. LTDA,-,14/08/1993,ACTIVO,HABIDO,MZA. B LOTE. 19 Z.I. ZONA INDUSTRIAL (TALARA ALTA) PIURA - TALARA - PARINAS,PRINCIPAL - 4923 - TRANSPORTE DE CARGA POR CARRETERA
20167877444,ARBORIZACIONES E.I.R.L.,EMPRESA INDIVIDUAL DE RESP. LTDA,-,14/08/1993,ACTIVO,HABIDO,CAL.MANUEL JARAMILLO NRO. 871 ASOC.SANTA ROSA (ZONA A ALT COMISARIA SJ DE MIRAFLORES) LIMA - LIMA - SAN JUAN DE MIRAFLORES,PRINCIPAL - 2012 - FABRICACION DE ABONOS Y COMPUESTOS DE NITROGENO
20178285336,REACTIVOS PARA ANALISIS S.A.C.,SOCIEDAD ANONIMA CERRADA,REACTIVOS PARA ANALISIS S.A.C.,28/09/1993,ACTIVO,HABIDO,AV. GUARDIA CIVIL NRO. 661 INT. 6 URB. CORPAC LIMA - LIMA - SAN BORJA,PRINCIPAL - 4690 - VENTA AL POR MAYOR NO ESPECIALIZADA
20192112401,"SERVICIOS, REPRESENTACIONES Y CONSTRUCCIONES S.R.L.",SOC.COM.RESPONS. LTDA,-,24/06/2009,ACTIVO,HABIDO,CAL.BIZNAGUILLAS MZA. R LOTE. 17 URB. MIRAFLORES COUNTRY CLUB PIURA - PIURA - CASTILLA,"PRINCIPAL - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION"
